The following processes has Re-Define across SubRES:
------------------------------------------------
Scenario-Region-Process

NewTransport-KEA ; SI ; T_P_McyICEPET
NewTech_AGR_KEA ; SI ; ADCF-WH-Hreco-ELC
NewTech_AGR_KEA ; SI ; AFISH-BOAT-Boat-DSL
NewTech_AGR_KEA ; SI ; AFISH-BOAT-HYBBOAT-DSL
NewTech_AGR_KEA ; SI ; AFISH-LIG--ELC
NewTech_AGR_KEA ; SI ; AFISH-RFGR-RF-ELC
NewTech_AGR_KEA ; SI ; AFORE-LIG--ELC
NewTech_AGR_KEA ; SI ; AFORE-MoTP-Mob-CY--DSL
NewTech_AGR_KEA ; SI ; AFORE-MoTP-Mob-CY--ELC
NewTech_AGR_KEA ; SI ; AFORE-MoTP-Mob-CY--H2R
NewTech_AGR_KEA ; SI ; AFORE-MoTP-Mob-GB--DSL
NewTech_AGR_KEA ; SI ; AFORE-MoTP-Mob-GB--ELC
NewTech_AGR_KEA ; SI ; AFORE-MoTP-Mob-GB--H2R
NewTech_AGR_KEA ; SI ; AFORE-MoTP-Stat--ELC
NewTech_AGR_KEA ; SI ; AHORT-IRG-Irg-ELC
NewTech_AGR_KEA ; SI ; AHORT-IRG-IrgVSD-ELC
NewTech_AGR_KEA ; SI ; AHORT-LIG--ELC
NewTech_AGR_KEA ; SI ; AHORT-MoTP-Mob-MTr--DSL
NewTech_AGR_KEA ; NI ; ADCF-IRG-Irg-ELC
NewTech_AGR_KEA ; NI ; ADCF-IRG-IrgVSD-ELC
NewTech_AGR_KEA ; NI ; ADCF-LIG--ELC
NewTech_AGR_KEA ; NI ; ADCF-MoTP-Mob-Bike--ELC
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-Bike--ELC
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-Bike--PET
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-MTr--DSL
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-MTr--ELC
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-MTr--H2R
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-Trac--DSL
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-Trac--ELC
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-Trac--H2R
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-Uti--DSL
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-Uti--ELC
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Mob-Uti--H2R
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Stat-VacP-ELC
NewTech_AGR_TUI ; SI ; ADCF-MoTP-Stat-VPVSD-ELC
NewTech_AGR_TUI ; SI ; ADCF-PUMP--ELC
NewTech_AGR_TUI ; SI ; ADCF-RFGR--ELC
NewTech_AGR_TUI ; SI ; ADCF-RFGR-HRECSys-ELC
NewTech_AGR_TUI ; SI ; ADCF-WH-Cylinder-ELC
NewTech_AGR_TUI ; SI ; ADCF-WH-Hreco-ELC
NewTech_AGR_TUI ; SI ; AFISH-BOAT-Boat-DSL
NewTech_AGR_TUI ; SI ; AFISH-BOAT-HYBBOAT-DSL
NewTech_AGR_TUI ; SI ; AFISH-LIG--ELC
NewTech_AGR_TUI ; SI ; AFISH-RFGR-RF-ELC
NewTech_AGR_TUI ; SI ; AFORE-LIG--ELC
NewTech_AGR_TUI ; SI ; AFORE-MoTP-Mob-CY--DSL
NewTech_AGR_TUI ; SI ; AFORE-MoTP-Mob-CY--ELC
NewTech_AGR_TUI ; SI ; AFORE-MoTP-Mob-CY--H2R
NewTech_AGR_TUI ; SI ; AFORE-MoTP-Mob-GB--DSL
NewTech_AGR_TUI ; SI ; AFORE-MoTP-Mob-GB--ELC
NewTech_AGR_TUI ; SI ; AFORE-MoTP-Mob-GB--H2R
NewTech_AGR_TUI ; SI ; AFORE-MoTP-Stat--ELC
NewTech_AGR_TUI ; SI ; AHORT-IRG-Irg-ELC
NewTech_AGR_TUI ; SI ; AHORT-IRG-IrgVSD-ELC
NewTech_AGR_TUI ; SI ; AHORT-LIG--ELC
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Mob-MTr--DSL
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Mob-MTr--ELC
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Mob-MTr--H2R
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Mob-Trac--DSL
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Mob-Trac--ELC
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Mob-Trac--H2R
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Mob-Uti--DSL
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Mob-Uti--ELC
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Mob-Uti--H2R
NewTech_AGR_TUI ; SI ; AHORT-MoTP-Stat-Motor-ELC
NewTech_AGR_TUI ; SI ; AINDC-LIG--ELC
NewTech_AGR_TUI ; SI ; AINDC-SH-Boiler-ELC
NewTech_AGR_TUI ; SI ; AINDC-SH-Boiler-H2R
NewTech_AGR_TUI ; SI ; AINDC-SH-Boiler-WOD
NewTech_AGR_TUI ; SI ; AINDC-SH-HP-ELC
NewTech_AGR_TUI ; SI ; ALIVE-IRG-Irg-ELC
NewTech_AGR_TUI ; SI ; ALIVE-IRG-IrgVSD-ELC
NewTech_AGR_TUI ; SI ; ALIVE-LIG--ELC
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-Bike--ELC
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-Bike--PET
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-MTr--DSL
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-MTr--ELC
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-MTr--H2R
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-Trac--DSL
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-Trac--ELC
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-Trac--H2R
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-Uti--DSL
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-Uti--ELC
NewTech_AGR_TUI ; SI ; ALIVE-MoTP-Mob-Uti--H2R
NewTech_ELC_TUI ; NI ; EHCOL_SCPC20
NewTech_ELC_TUI ; NI ; EHYD-DAM-New20
NewTech_ELC_TUI ; NI ; EHYDPUMPSTG_L
NewTech_ELC_TUI ; NI ; EHYDPUMPSTG_S
NewTech_ELC_TUI ; NI ; EHYD-RR-New20
NewTech_ELC_TUI ; NI ; EHYD-RR-NSmall20
NewTech_ELC_TUI ; NI ; ENGA_CCS30
NewTech_ELC_TUI ; NI ; ENGA_GTCC20
NewTech_ELC_TUI ; NI ; ENGA_GTCCF20
NewTech_ELC_TUI ; NI ; ENUC_EPR30
NewTech_ELC_TUI ; NI ; ENUC_FBR50
NewTech_ELC_TUI ; NI ; ENUC_LWR20
NewTech_ELC_TUI ; NI ; EOIL20
NewTech_ELC_TUI ; NI ; ESOLPVBCOM20
NewTech_ELC_TUI ; NI ; ESOLPVBRES20
NewTech_ELC_TUI ; NI ; ESOLPVDISTGR20
NewTech_ELC_TUI ; NI ; ESOLPVUTIFIX20
NewTech_ELC_TUI ; NI ; ESOLPVUTITRAC20
NewTech_ELC_TUI ; NI ; ETIDE20
NewTech_ELC_TUI ; NI ; EWINDCONS20
NewTech_ELC_TUI ; NI ; EWINDDIST20
NewTech_ELC_TUI ; NI ; EWINDHIGHCF20
NewTech_ELC_TUI ; NI ; EWINDLOWCF20
NewTech_ELC_TUI ; NI ; EWINDOFFSFIX20
NewTech_ELC_TUI ; NI ; EWINDOFFSFLOA20
NewTech_ELC_TUI ; NI ; EWOD20
NewTech_ELC_TUI ; NI ; EWSTINC20
NewTech_ELC_TUI ; SI ; CCS_Store1
NewTech_ELC_TUI ; SI ; CCS_Store2
NewTech_ELC_TUI ; SI ; EBAT-Li-Ion
NewTech_ELC_TUI ; SI ; EBATUTIFLOW
NewTech_ELC_TUI ; SI ; EBATUTILION
NewTech_ELC_TUI ; SI ; EBIG20
NewTech_ELC_TUI ; SI ; EBIL20
NewTech_ELC_TUI ; SI ; EGEOBIN20
NewTech_ELC_TUI ; SI ; EGEOCONSBIN20
NewTech_ELC_TUI ; SI ; EGEOCONSFLSH20
NewTech_ELC_TUI ; SI ; EGEOFLSH20
NewTech_ELC_TUI ; SI ; EHCO_CCS30
NewTech_ELC_TUI ; SI ; EHCO_SCPC20
NewTech_ELC_TUI ; SI ; EHCOL_CCS30
NewTech_ELC_TUI ; SI ; EHCOL_SCPC20
NewTech_ELC_TUI ; SI ; EHYD-DAM-New20
NewTech_ELC_TUI ; SI ; EHYDPUMPSTG_L
NewTech_ELC_TUI ; SI ; EHYDPUMPSTG_S
NewTech_ELC_TUI ; SI ; EHYD-RR-New20
NewTech_ELC_TUI ; SI ; EHYD-RR-NSmall20
NewTech_ELC_TUI ; SI ; ENGA_CCS30
NewTech_ELC_TUI ; SI ; ENGA_GTCC20
NewTech_ELC_TUI ; SI ; ENGA_GTCCF20
NewTech_ELC_TUI ; SI ; ENUC_EPR30
NewTech_ELC_TUI ; SI ; ENUC_FBR50
